date;Geo;values;values_B_E
2008-01-01;Italie;0,171959302794706;0,197824250862208
2009-01-01;Italie;0,151742864120522;0,178483080555976
2010-01-01;Italie;0,158090998696297;0,183132553061715
2011-01-01;Italie;0,158253036860703;0,182770014794443
2012-01-01;Italie;0,154366937723937;0,181433201142955
2013-01-01;Italie;0,154315826304809;0,182309556406567
2014-01-01;Italie;0,155693856728279;0,182888504126209
2015-01-01;Italie;0,160317501402477;0,185173220827927
2016-01-01;Italie;0,164968368356756;0,189903160735969
2017-01-01;Italie;0,166544416122639;0,191510717755882
2018-01-01;Italie;0,167928167742570;0,193685513898861
2019-01-01;Italie;0,166468944313481;0,193162708666585
2020-01-01;Italie;0,161577465383618;0,189893498183780
2021-01-01;Italie;0,172204364871299;0,200904382705671
2022-01-01;Italie;0,171357866323641;0,202366171043305
2023-01-01;Italie;0,170003454281977;0,198818489240251
2024-01-01;Italie;0,162887761381445;0,186115199925492
